o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:description,dcterms:publisher,dcterms:contributor,dcterms:date,dcterms:type,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:abstract,dcterms:created,dcterms:extent,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:dateSubmitted,dcterms:educationLevel,bibo:contributorList,bibo:director,bibo:editor,bibo:owner,bibo:performer,bibo:presentedAt,bibo:translator,bibo:content,bibo:doi,bibo:edition,bibo:isbn,bibo:issn,bibo:issue,bibo:lccn,bibo:numPages,bibo:number,bibo:pages,bibo:section,bibo:shortTitle,bibo:uri,bibo:volume,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,foaf:account,foaf:accountServiceHomepage,foaf:accountName,skos:semanticRelation,skos:broader,skos:closeMatch,skos:prefLabel,skos:altLabel,schema:url,schema:participant,schema:identifier,schema:sameAs,schema:provider,schema:educationalLevel,schema:address,schema:color,schema:contentSize,schema:endDate,schema:orderNumber,schema:programmingLanguage,schema:query,schema:relatedLink,schema:serverStatus,schema:serviceUrl,schema:size,schema:startDate,schema:upvoteCount,schema:worksFor,schema:duration,cito:isCompiledBy,ma:hasContributedTo,ma:isChapterOf,jdc:x,jdc:y,jdc:hasActant,jdc:hasConcept,jdc:hasCrible,jdc:hasCribleCarto,jdc:complexity,jdc:hexaQ,jdc:hexaR,jdc:hexaS,jdc:hasRencontre,jdc:valeurUtilite,fup8:hasEC,fup8:hasParcours,fup8:hasUniversity,fup8:hasDepartement,fup8:hasUFR,fup8:hasMention
299682,http://localhost/samszo/omk/s/cartoaffect/item/299682,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Cegetel – Développement d’un outil informatique",,"Développement d’un outil informatique permettant d’identifier et d’anticiper les besoins d’approvisionnement en ressources matérielles relatives aux équipements réseaux haut débit.
Rédaction des spécifications techniques
Développement de composants génériques pour la présentation de graphiques SVG dynamique (courbe, schéma…)
Développement de procédures stockées pour la production de statistiques et d’alarmes.
Développement des IHMs.
Technologie
Windows NT, Oracle 9
Environnement de développement : C# .Net 1.1, PL/SQL, SVG, XML, XSLT, JavaScript, Source Safe",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-08-23,3,,,,,,,2004-01-08,,"299578 | 299585",,,,,,,,,,,"99 | 95 | 118 | 73",,,,,,,,,,,
299683,http://localhost/samszo/omk/s/cartoaffect/item/299683,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Telecom Developpement – Développement d’un outil de vérification de facture",,"Les services financiers avaient besoin d’une application capable de vérifier des dizaines de milliers de ligne de facture, de produire des factures prévisionnelles pour le contrôle de gestion et de gérer le suivi des commandes.
Conception du modèle de la base de données
Rédaction des spécifications techniques
Développement de composants génériques pour l’intégration et l’édition des données
Développement de procédures stockées pour la production de factures prévisionnelles et le rapprochement entre commandes et factures.
Développement des IHMs.
Encadrement d’un stagiaire.
Formation des utilisateurs
Technologie
Windows NT, Oracle 8i
Environnement de développement : VB .Net 1.1, TrueDBGrid, PL/SQL, AMC Designor, Visual Source Safe",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-12-22,4,,,,,,,2002-12-11,,299585,,,,,,,,,,,"66 | 62 | 95 | 50",,,,,,,,,,,
299684,http://localhost/samszo/omk/s/cartoaffect/item/299684,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"ANPE – Gestion de l’annuaire",,"L’application de gestion de l’annuaire de l’ANPE avait besoin d’une optimisation de ces performances notamment en ce qui concerne les requêtes sur l’annuaire Exchange et sur le tri des données :
Analyse des performances
Rédaction des spécifications techniques
Développement d’un composant de mise en cache et de tri des requêtes
Mise à jour de l’application Intranet existante
Technologie
Extranet / Intranet sous IIS 5.0, Windows 2000 Server, Exchange 2000 SP2
Environnement de développement : VB 6.0, ASP,XML,XSLT, Visual Source Safe",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-12-04,5,,,,,,,2002-10-10,,"299576 | 299585",,,,,,,,,,,"107 | 103 | 126 | 81",,,,,,,,,,,
299685,http://localhost/samszo/omk/s/cartoaffect/item/299685,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"ANPE – synchronisation carnet d’adresse",,"Pour son Intranet, l’ANPE avait besoin d’un outil de synchronisation des carnets d’adresses Outlook Express (WAB) et Outlook Web Access (OWA) :
Développement d’un composant d’extraction et de synchronisation des carnets d’adresses via des flux XML
Développement d’un contrôle ActiveX accessible par une page ASP
Mise à jour du site Intranet
Technologie
Extranet / Intranet sous IIS 5.0, Windows 2000 Server, Exchange 2000 SP2
Environnement de développement : VB 6.0, ASP,XML, Visual Source Safe",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-09-22,6,,,,,,,2002-07-02,,"299576 | 299585",,,,,,,,,,,"107 | 103 | 126 | 81",,,,,,,,,,,
299686,http://localhost/samszo/omk/s/cartoaffect/item/299686,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Gestion du RMI",,"Les services de la ville de Paris gèrent l’attribution des chèques de transport pour les bénéficiaires du RMI. Chaque mois, un flux de plusieurs dizaines de milliers de personnes doit être gérer. L’application existante Chèque Mobilité ne permettant une importation automatique de ce flux, une solution d’importation automatique devait être mise en place.
Vérification du fichier à importer
Importation par le loader Oracle via un composant VB
Edition des doublons
Mise à jour de l’application existante
Technologie
Microsoft WINDOWS 2000 et WINDOWS 98
Environnement de développement : VB 6.0, Visual Source Safe, Oracle 8i",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-30,7,,,,,,,2002-04-03,,"299584 | 299585",,,,,,,,,,,"99 | 95 | 118 | 73",,,,,,,,,,,
299687,http://localhost/samszo/omk/s/cartoaffect/item/299687,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,OPERA,,"OPERA dispose d’une application de type extranet /intranet pour permettre à ses acheteurs de gérer leurs appels d’offres promotionnelles.
L’intranet permet à l’acheteur de soumettre ses appels d’offres à ses fournisseurs, puis de sélectionner les propositions
L’extranet permet au fournisseur de répondre aux appels d’offres et de suivre l’évolution de ses produits retenus
OPERA cherchait un partenaire pour prendre en charge la maintenance de l’application dans son intégralité.
Technologie
Extranet / Intranet sous IIS 4.0, Windows NT 4.0 Server, SQL Server 7.0
Environnement de développement : VB 6.0, Access 97, ASP, VBA Excel 2000, Visual Source Safe",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-24,8,,,,,,,2002-05-14,,"299586 | 299585",,,,,,,,,,,"99 | 95 | 118 | 73",,,,,,,,,,,
299688,http://localhost/samszo/omk/s/cartoaffect/item/299688,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,Nomadys,,"Contribution au développement du site WEB Nomadys (Auto assistance clientèle de l’offre GSM Nomad)
Technologie : SQL Server 7, IIS, Visual Studio, HTML, ASP, JavaScript, XML, annuaire LDAP",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-12,1,,,,,,,2001-11-11,,"299577 | 299585",,,,,,,,,,,"109 | 105 | 128 | 83",,,,,,,,,,,
299689,http://localhost/samszo/omk/s/cartoaffect/item/299689,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Mesure qualité réseau",,"Développement d’un outil de mesure de performances et qualités de services pour les réseaux.
Technologie : Windows NT, UNIX, Brio, Oracle, Access, VB6, ADO",,,,,,,,,,,,299336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-01-16,2,,,,,,,2001-08-02,,299585,,,,,,,,,,,"66 | 62 | 95 | 50",,,,,,,,,,,
299690,http://localhost/samszo/omk/s/cartoaffect/item/299690,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Base de données de gestion administrative",,"Fédération des Agents GEnéraux d'Assurances
Développement d’une application de gestion administrative ; modélisation base de donnée, procédures stockées, interfaces utilisateurs.
Technologie : Windows NT, UNIX, SQL Server, Transact-SQL, AMC Designor, WinDev.",,,,,,,,,,,,299337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-30,3,,,,,,,2001-04-21,,299588,,,,,,,,,,,"64 | 60 | 93 | 48",,,,,,,,,,,
299691,http://localhost/samszo/omk/s/cartoaffect/item/299691,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Agence française de l’innovation – Multimédia spatio-temporel",,"Conception d’un système d’information pour l’organisation et la gestion en temps réel de contenus multimédia liés à la position spatio-temporelle d’un véhicule.",,,,,,,,,,,,299337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12-10,4,,,,,,,2000-06-27,,299588,,,,,,,,,,,"64 | 60 | 93 | 48",,,,,,,,,,,
299711,http://localhost/samszo/omk/s/cartoaffect/item/299711,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,cocult,,"Application pour créer des parcours culturelle à partir d’une déambulation photographique et d’une indexation par des cribles conceptuels",,,,,644234421,,,,,,,301731,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/cocult,,,,,,,,,,,,,300730,,,,"178741 | 43145 | 4036",2023-05-31T07:40:20Z,1,"89711 | 96621 | 102418",,https://artnum.univ-paris8.fr/cocult/tags.html,,,18167,2023-05-23T05:23:43Z,0,,,,,,,,,,,,"318 | 314 | 240 | 238",,,,,,,,,,,
299712,http://localhost/samszo/omk/s/cartoaffect/item/299712,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,ChaoticumSeminario,,"Application de recherche création pour expérimenter de nouveaux modes d’éditorialisation scientifiques",,,,,427051741,,,,,,,"301894 | 301893",,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/ChaoticumSeminario,,,,,,,,,,,,,300730,,,,"227740 | 79299 | 7845 | 5032",2022-12-14T23:55:51Z,2,"89711 | 96621 | 102418 | 108369",,https://github.com/samszo/ChaoticumSeminario,,,2860,2021-11-11T15:33:05Z,1,,,,,,,,,,,,"416 | 412 | 304 | 302",,,,,,,,,,,
299713,http://localhost/samszo/omk/s/cartoaffect/item/299713,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,Omeka-S-module-JDC,,,,,,,270559592,,,,,,,300724,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/Omeka-S-module-JDC,,,,,,,,,,,,,300730,,,,"111507 | 82386 | 13684 | 984",2021-10-28T06:34:52Z,3,"89711 | 108369 | 96621 | 102418",,https://github.com/samszo/Omeka-S-module-JDC,,,1111,2020-06-08T06:43:04Z,0,,,,,,,,,,,,"385 | 373 | 279 | 277",,,,,,,,,,,
299714,http://localhost/samszo/omk/s/cartoaffect/item/299714,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,Omeka-S-module-CartoAffect,,,,,,,264360892,,,,,,,300724,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/Omeka-S-module-CartoAffect,,,,,,,,,,,,,300730,,,,"180974 | 935",2021-12-29T05:36:24Z,4,"108369 | 89711",,https://github.com/samszo/Omeka-S-module-CartoAffect,,,726,2020-05-16T04:45:32Z,0,,,,,,,,,,,,"259 | 247 | 193 | 191",,,,,,,,,,,
299715,http://localhost/samszo/omk/s/cartoaffect/item/299715,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Base de données Omeka s pour une pédagothèque en psychologie",,"L'objectif de ce site est de faciliter le partage des ressources pédagogiques entre enseignants dans le domaine de la psychologie",,,,,,,,,,,,301730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,5,,,"https://pedagotheque.uoh.fr/psy/ | https://github.com/samszo/Omeka-S-theme-UOH",,,,2021,,62155,,,,,,,,,,,"117 | 113 | 93 | 91",,,,,,,,,,,
299716,http://localhost/samszo/omk/s/cartoaffect/item/299716,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,polemika,,,,,,,249115094,,,,,,,301731,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/polemika,,,,,,,,,,,,,300730,,,,"279081 | 111923 | 37082 | 13351 | 982",2021-12-06T23:40:32Z,6,"102418 | 96621 | 89711",,"https://polemika.univ-paris8.fr/omk/s/prototypes | https://polemika.univ-paris8.fr/omk/s/emotions/page/welcome",,,9715,2020-03-22T04:48:20Z,0,"62155 | 62137",,,,,,,,,,,"421 | 417 | 459 | 457",,,,,,,,,,,
299717,http://localhost/samszo/omk/s/cartoaffect/item/299717,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,Omeka-S-module-Scraping,,,,,,,324072427,,,,,,,300724,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/Omeka-S-module-Scraping,,,,,,,,,,,,,300730,,,,"219043 | 4620 | 253 | 95",2022-01-07T05:44:32Z,7,"108369 | 96621 | 89711 | 102418",,https://github.com/samszo/Omeka-S-module-scraping,,,118,2020-12-24T05:19:43Z,1,,,,,,,,,,,,"385 | 373 | 353 | 351",,,,,,,,,,,
299718,http://localhost/samszo/omk/s/cartoaffect/item/299718,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,Omeka-S-module-CmapImport,,,,,,,377045980,,,,,,,300724,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/Omeka-S-module-CmapImport,,,,,,,,,,,,,300730,,,,"64693 | 5297",2021-06-15T05:29:56Z,8,"108369 | 96621",,https://github.com/samszo/Omeka-S-module-CmapImport,,,231,2021-04-15T05:26:20Z,0,,,,,,,,,,,,"259 | 247 | 193 | 191",,,,,,,,,,,
299719,http://localhost/samszo/omk/s/cartoaffect/item/299719,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,omeka-s-module-generateur,,,,,,,239094498,,,,,,,300724,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/omeka-s-module-generateur,,,,,,,,,,,,,300730,,,,"237858 | 37968 | 11664 | 9235",2021-10-17T08:13:56Z,9,"108369 | 96621 | 89711 | 102418",,https://github.com/samszo/Omeka-S-module-generateur,,,424,2020-02-08T08:37:14Z,0,299623,,,,,,,,,,,"418 | 406 | 304 | 302",,,,,,,,,,,
299720,http://localhost/samszo/omk/s/cartoaffect/item/299720,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,mesostiche,,,,,,,321875052,,,,,,,301734,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/mesostiche,,,,,,,,,,,,,300730,,,,"144904 | 44565",2022-01-10T09:14:41Z,10,"89711 | 96621",,"https://github.com/samszo/mesostiche | https://samszo.github.io/mesostiche/chaoticum-cantiques.html",,,689,2020-12-16T05:09:11Z,0,,,,,,,,,,,,"256 | 252 | 196 | 194",,,,,,,,,,,
299721,http://localhost/samszo/omk/s/cartoaffect/item/299721,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,A_Maze_Logo,,,,,,,329671832,,,,,,,301893,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/A_Maze_Logo,,,,,,,,,,,,,300730,,,,"145691 | 5160",2022-01-07T05:45:09Z,11,"89711 | 96621",,"https://github.com/samszo/A_Maze_Logo | https://samszo.github.io/A_Maze_Logo/TroisCouchesExistentielles.html",,,273,2021-01-14T16:29:13Z,0,,,,,,,,,,,,"258 | 254 | 196 | 194",,,,,,,,,,,
299722,http://localhost/samszo/omk/s/cartoaffect/item/299722,Projet,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,Omeka-S-module-ZoteroImportplus,,"Amélioration du module Zotero existant : import des documents et des notes, hypertextualisation des auteurs…",,,,,365165639,,,,,,,300724,,,,,,,samszo,,,,,,,,,,,,,,,,,,,,,https://github.com/samszo/Omeka-S-module-ZoteroImportplus,,,,,,,,,,,,,300730,,,,"108443 | 4342",2023-07-18T07:33:50Z,12,"108369 | 96621",,https://github.com/samszo/Omeka-S-module-zoteroImportPlus,,,236,2021-05-07T08:27:09Z,0,,,,,,,,,,,,"263 | 251 | 197 | 195",,,,,,,,,,,
299723,http://localhost/samszo/omk/s/cartoaffect/item/299723,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"2018 : Valorisation des Archives numériques",,,,,,,,,,,,,,301731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,https://jardindesconnaissances.univ-paris8.fr/public/valarnum,,,,2018,,70159,,,,,,,,,,,"61 | 57 | 172 | 45",,,,,,,,,,,
299724,http://localhost/samszo/omk/s/cartoaffect/item/299724,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"2018 : Emonitor",,"Application mobile pour capter les émotions des étudiants",,,,,,,,,,,,301731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62512 | 61960",,,,,,,,,14,,,,,,,2018,,,,,,,,,,,,,"150 | 146 | 118 | 116",,,,,,,,,,,
299725,http://localhost/samszo/omk/s/cartoaffect/item/299725,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Générateur de textes pour l’Orlanoïde",,,,,,,,,,,,,,301895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61153 | 299622",,,,,,,,2019,15,,,http://www.orlan.eu/orlan-et-lorlanoide,,,,2018,,,,,,,,,,,,,"143 | 139 | 109 | 107",,,,,,,,,,,
299726,http://localhost/samszo/omk/s/cartoaffect/item/299726,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Générateur de dé iconique",,"Pour séances de créativité, créer des dés iconiques.",,,,,,,,,,,,299727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-03,16,,,,,,,2017-02-03,,299593,,,,,,,,,,,"187 | 175 | 141 | 139",,,,,,,,,,,
299727,http://localhost/samszo/omk/s/cartoaffect/item/299727,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Atelier CreaTIC : Créativité, Reconstruction et Proverbe",,,,,,,,,,,,,,301735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62190 | 61424",,,,,,,,2017-06-20,17,,,"https://youtu.be/HY6KBrSnpI8 | https://jardindesconnaissances.univ-paris8.fr/public/plisages/de",,,,2017-02-23,,299593,,,,,,,,,,,"203 | 199 | 223 | 163",,,,,,,,,,,
299728,http://localhost/samszo/omk/s/cartoaffect/item/299728,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Generative Stein Poems",,,,,,,,,,,,,,"301731 | 301895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61153 | 62572",,,,,,,,,17,,,http://brooom.org/poemesStein/,,,,2016,,69898,,,,,,,,,,,"188 | 184 | 357 | 262",,,,,,,,,,,
299729,http://localhost/samszo/omk/s/cartoaffect/item/299729,,schema:Project,samuel.szoniecky@univ-paris8.fr,true,299328,,,,"Visualisation des interactions scientifiques",,"Mis en pratique entre les membres de l’équipe CiTU du laboratoire Paragraphe",,,,,,,,,,,,301732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-30,18,,,https://jardindesconnaissances.univ-paris8.fr/public/paragraphe,,,,2016-03-10,,,,,,,,,,,,,"65 | 61 | 51 | 49",,,,,,,,,,,
